subpopulation,value_population,treatment,value,outcome,ate,ate_p,iscore,size,size_protected,size_treated,support,ni_score1,ni_score2,ni_score3,p_v1,p_v2,utility,std,kl,emd,diff_means
Age,75-84,Citizenship status,"Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas",Total person's income,,,,7391,3180,34,0.01959697732997481,,,,,,,72892.69522845771,227504944.11422783,17496.712578616352,17494.03962264151
Age,75-84,Citizenship status,Born in the U.S.,Total person's income,,,,7391,3180,6651,0.01959697732997481,,,,,,,72892.69522845771,227504944.11422783,17496.712578616352,17494.03962264151
Age,75-84,Citizenship status,U.S. citizen by naturalization,Total person's income,,,,7391,3180,566,0.01959697732997481,,,,,,,72892.69522845771,227504944.11422783,17496.712578616352,17494.03962264151
Age,75-84,Citizenship status,Born abroad of American parent(s),Total person's income,47566.69769209874,,,7391,3180,25,0.01959697732997481,,,,,,,72892.69522845771,227504944.11422783,17496.712578616352,17494.03962264151
Age,75-84,Citizenship status,Not a citizen of the U.S.,Total person's income,,,,7391,3180,115,0.01959697732997481,,,,,,,72892.69522845771,227504944.11422783,17496.712578616352,17494.03962264151
Age,25-34,Citizenship status,"Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas",Total person's income,-3782.36360808913,,,70110,34245,323,0.1858942065491184,,,,,,,40911.03398827832,1071206789.9780279,5207.791648415826,5204.47495984815
Age,25-34,Citizenship status,Born in the U.S.,Total person's income,,1530.076610979675,,70110,34245,59508,0.1858942065491184,,,,,,,40911.03398827832,1071206789.9780279,5207.791648415826,5204.47495984815
Age,25-34,Citizenship status,U.S. citizen by naturalization,Total person's income,3730.2804709060147,2965.849009997917,764.4314609080975,70110,34245,3536,0.1858942065491184,0.073594417429526,0.03750034671669944,0.06648554508994464,[1.26458897e-07],[0.00041001],0.012359277651480894,40911.03398827832,1071206789.9780279,5207.791648415826,5204.47495984815
Age,25-34,Citizenship status,Born abroad of American parent(s),Total person's income,,2884.2950387441742,,70110,34245,880,0.1858942065491184,,,,,,,40911.03398827832,1071206789.9780279,5207.791648415826,5204.47495984815
Age,25-34,Citizenship status,Not a citizen of the U.S.,Total person's income,-2412.973863110514,-4999.668359473788,2586.694496363274,70110,34245,5863,0.1858942065491184,0.22792180840463327,0.1213201996202673,0.20768996439665044,[1.53612712e-05],[8.62875075e-13],0.038608361139729985,40911.03398827832,1071206789.9780279,5207.791648415826,5204.47495984815
Age,45-54,Citizenship status,"Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas",Total person's income,-16317.693113472524,-9731.031123718305,6586.661989754219,71103,34995,354,0.188527111228954,0.4824588287185624,0.28059665605347817,0.4472224280502146,[2.81329164e-05],[0.01924774],0.08431355243710568,73127.57375368489,2358680465.3962355,14677.507901128734,14672.416316616662
Age,45-54,Citizenship status,Born in the U.S.,Total person's income,5414.959586345445,4605.434695108845,809.5248912366005,71103,34995,57142,0.188527111228954,0.07776249328411344,0.03966802265264191,0.07026645088288253,[4.3298682e-15],[9.19763603e-10],0.013247131001261027,73127.57375368489,2358680465.3962355,14677.507901128734,14672.416316616662
