itemset,treatment,ate1,ate2,iscore,size_itemset,size_group1,size_group2,support,ni_score,utility,std,diff_means
"{'Race': 1.0, 'BornInUSA': 1.0}","[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6F310>, 'val_specified': 4.0}]",-0.011015687154483755,-0.10691116558739489,0.09589547843291113,3580,1763,1817,0.5750080308384196,9.589547711463808e-09,9.589547711463808e-09,0.3611307315391588,0.28032844150739944
"{'Race': 1.0, 'IsDiagnosedAsthma': 2.0, 'BornInUSA': 1.0}","[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6FA60>, 'val_specified': 4.0}]",-0.01035589653427138,-0.09996565126999712,0.08960975473572574,3182,1551,1631,0.5110825570189528,8.960975406147043e-09,8.960975406147043e-09,0.3600341446841003,0.27846396442871657
"{'Race': 1.0, 'IsHadHeartAttack': 2.0, 'BornInUSA': 1.0}","[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6FC10>, 'val_specified': 4.0}]",-0.011814353185902515,-0.10718477263513049,0.09537041944922797,3376,1761,1615,0.542242210086733,9.53704193396021e-09,9.53704193396021e-09,0.3498407090503569,0.27471092803659625
"{'Race': 1.0, 'IsHadStroke': 2.0, 'BornInUSA': 1.0}","[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6FB80>, 'val_specified': 4.0}]",-0.011938266235028694,-0.10429661449988425,0.09235834826485556,3392,1756,1636,0.544812078380983,9.235834652621122e-09,9.235834652621122e-09,0.3485462868285126,0.26978407249193803
"{'Race': 1.0, 'IsHadStroke': 2.0, 'IsHadHeartAttack': 2.0, 'BornInUSA': 1.0}","[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6FAF0>, 'val_specified': 4.0}]",-0.012740039730712915,-0.1043852338464546,0.09164519411574168,3237,1754,1483,0.5199164792804368,9.16451925458972e-09,9.16451925458972e-09,0.33839535891035394,0.2642856209215656
{'BornInUSA': 1.0},"[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6F8B0>, 'val_specified': 4.0}]",-0.007742048829590731,-0.10969143464395836,0.10194938581436763,4928,2540,2388,0.7915194346289752,1.0194938560026401e-08,1.0194938560026401e-08,0.33904235110559144,0.2547639773671506
{'Race': 1.0},"[{'att': 'TakesAspirinFrequently', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6F1F0>, 'val_specified': 1.0}]",-0.03487964291407697,-0.04439334611225321,0.009513703198176238,4420,2136,2284,0.7099261162865403,9.513703158603448e-10,9.513703158603448e-10,0.3484364893950552,0.25371088241274586
"{'Race': 1.0, 'IsDiagnosedAsthma': 2.0}","[{'att': 'TakesAspirinFrequently', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6F940>, 'val_specified': 2.0}]",0.0384945247535835,0.03687821612349884,0.0016163086300846619,3981,1914,2067,0.6394153549630581,1.6163093086163371e-10,1.6163093086163371e-10,0.3474191304476217,0.2533338489747079
"{'IsHadHeartAttack': 2.0, 'IsDiagnosedAsthma': 2.0, 'BornInUSA': 1.0}","[{'att': 'TakesAspirinFrequently', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6FD30>, 'val_specified': 1.0}]",-0.027980204045676693,-0.03462762528338659,0.006647421237709894,4111,2211,1900,0.6602955348538387,6.647420391914238e-10,6.647420391914238e-10,0.3293694151423998,0.25223713966054895
"{'IsHadStroke': 2.0, 'IsDiagnosedAsthma': 2.0, 'BornInUSA': 1.0}","[{'att': 'IsWorking', 'value': <function parse_treatment.<locals>.<lambda> at 0x0000020353D6F700>, 'val_specified': 4.0}]",-0.0070716358938176516,-0.10586992239436244,0.09879828650054479,4087,2204,1883,0.6564407324124638,9.879828621883746e-09,9.879828621883746e-09,0.32682914735693447,0.24916870114010825
