itemset,treatment
"frozenset({'DoesDoctorRecommendExercise=2.0', 'IsHadStroke=2.0', 'IsWorking=1.0'})",IsBornInUSA_1.0
"frozenset({'DoesDoctorRecommendExercise=2.0', 'IsWorking=1.0'})",IsBornInUSA_1.0
"frozenset({'CurrentlySmoke=0', 'Married=1.0'})",Race_4
"frozenset({'IsHadStroke=2.0', 'Married=1.0'})",Education_5.0
"frozenset({'DoesDoctorRecommendExercise=2.0', 'IsHadStroke=2.0', 'CurrentlySmoke=0'})",Race_3+Education_1.0
frozenset({'Married=1.0'}),Education_3.0
"frozenset({'DoesDoctorRecommendExercise=2.0', 'IsHadStroke=2.0'})",Education_1.0
"frozenset({'DoesDoctorRecommendExercise=2.0', 'CurrentlySmoke=0'})",Race_3
"frozenset({'IsHadStroke=2.0', 'CurrentlySmoke=0', 'IsWorking=1.0'})",IsBornInUSA_2.0
"frozenset({'CurrentlySmoke=0', 'IsWorking=1.0'})",IsBornInUSA_1.0
"frozenset({'IsHadStroke=2.0', 'IsWorking=1.0'})",IsBornInUSA_1.0
frozenset({'IsWorking=1.0'}),IsBornInUSA_1.0
frozenset({'DoesDoctorRecommendExercise=2.0'}),Education_1.0
"frozenset({'CurrentlySmoke=0', 'IsHadStroke=2.0', 'IsWorking=4.0'})",IsBornInUSA_1.0
"frozenset({'IsHadStroke=2.0', 'CurrentlySmoke=0'})",Sex_1
"frozenset({'IsHadStroke=2.0', 'IsWorking=4.0'})",IsBornInUSA_1.0
"frozenset({'DoesDoctorRecommendExercise=2.0', 'Married=5.0'})",Education_1.0
"frozenset({'CurrentlySmoke=0', 'IsWorking=4.0'})",IsBornInUSA_1.0
frozenset({'IsHadStroke=2.0'}),Sex_1
frozenset({'CurrentlySmoke=0'}),Sex_1
frozenset({'IsWorking=4.0'}),IsBornInUSA_1.0
